Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,216,Thailand,5419,Yield,56,Maize,1980,1980,hg/ha,22283,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1981,1981,hg/ha,23538,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1982,1982,hg/ha,22988,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1983,1983,hg/ha,22674,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1984,1984,hg/ha,24305,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1985,1985,hg/ha,25719,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1986,1986,hg/ha,23738,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1987,1987,hg/ha,20486,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1988,1988,hg/ha,26176,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1989,1989,hg/ha,25690,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1990,1990,hg/ha,24090,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1991,1991,hg/ha,27117,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1992,1992,hg/ha,29709,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1993,1993,hg/ha,27333,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1994,1994,hg/ha,29344,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1995,1995,hg/ha,32884,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1996,1996,hg/ha,34478,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1997,1997,hg/ha,31982,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1998,1998,hg/ha,33448,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,1999,1999,hg/ha,35526,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2000,2000,hg/ha,36715,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2001,2001,hg/ha,37329,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2002,2002,hg/ha,37145,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2003,2003,hg/ha,38513,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2004,2004,hg/ha,38587,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2005,2005,hg/ha,38161,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2006,2006,hg/ha,39356,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2007,2007,hg/ha,39295,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2008,2008,hg/ha,40748,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2009,2009,hg/ha,41780,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2010,2010,hg/ha,41799,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2011,2011,hg/ha,43297,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2012,2012,hg/ha,43225,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2013,2013,hg/ha,42242,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2014,2014,hg/ha,42454,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2015,2015,hg/ha,41789,Fc,Calculated data
QC,Crops,216,Thailand,5419,Yield,56,Maize,2016,2016,hg/ha,42287,Fc,Calculated data